"","X","city","state","longitude","latitude","AirPtCd","citstate","citylons","citylats","newairlon","newairlat"
"91",91,"Richfield","Utah",-112.083,38.7667,"KMLF","Richfield Utah",-112.0840943,38.7724673,-113.0112514,38.4192635
"92",92,"St. George","Utah",-113.5781,37.0953,"KSGU","St. George Utah",-113.5684164,37.0965278,-113.5099697,37.0334602
"94",94,"Needles","California",-114.6,34.8333,"KEED","Needles California",-114.6141315,34.8480597,-114.6194,34.7688
"95",95,"Las Vegas","Nevada",-115.2,36.1667,"KVGT","Las Vegas Nevada",-115.1398296,36.1699412,-115.1994297,36.2092336
"96",96,"Boise","Idaho",-116.217,43.6,"KBOI","Boise Idaho",-116.2023137,43.6150186,-116.2119311,43.6203256
"97",97,"Lewiston","Idaho",-117.033,46.4,"KLWS","Lewiston Idaho",-117.001189,46.4004089,-117.014737,46.3740418
"98",98,"Austin","Nevada",-117.067,39.4833,"KP68","Austin Nevada",-117.0672356,39.4925701,-116.00556,39.6014
"99",99,"San Diego","California",-117.15,32.72,"KSAN","San Diego California",-117.1610838,32.715738,-117.1933038,32.7338006
"100",100,"Spokane","Washington",-117.433,47.6667,"KGEG","Spokane Washington",-117.4260465,47.6587802,-117.534812,47.6217478
"101",101,"Baker","Oregon",-117.833,44.7833,"KBKE","Baker Oregon",-117.8343848,44.7748748,-117.809527,44.8377716
"102",102,"Los Angeles","California",-118.25,34.05,"KCQT","Los Angeles California",-118.2436849,34.0522342,-117.863,33.679
"103",103,"Fresno","California",-119.8,36.7333,"KFAT","Fresno California",-119.7871247,36.7377981,-119.7181083,36.7758493
"104",104,"Reno","Nevada",-119.817,39.5,"KRNO","Reno Nevada",-119.8138027,39.5296329,-119.7680951,39.4995907
"105",105,"Sacramento","California",-121.5,38.5833,"KSAC","Sacramento California",-121.4943996,38.5815719,-121.4987911,38.5128968
"106",106,"Klamath Falls","Oregon",-121.733,42.1667,"KLMT","Klamath Falls Oregon",-121.7816704,42.224867,-121.7340506,42.1590311
"107",107,"Seattle","Washington",-122.333,47.6167,"KBFI","Seattle Washington",-122.3320708,47.6062095,-122.3018264,47.5281657
"108",108,"San Francisco","California",-122.433,37.7833,"KSFO","San Francisco California",-122.4194155,37.7749295,-122.4006918,37.7983752
"109",109,"Portland","Oregon",-122.683,45.5167,"KVUO","Portland Oregon",-122.6587185,45.5122308,-122.6558909,45.6223129
"110",110,"Eugene","Oregon",-123.083,44.05,"KEUG","Eugene Oregon",-123.0867536,44.0520691,-123.2159003,44.1217811
"111",111,"Hoquiam","Washington",-123.9,46.9833,"KHQM","Hoquiam Washington",-123.8893348,46.9809247,-123.936789,46.9715412
"113",113,"Honolulu","Hawaii",-157.8167,21.3,"PHNL","Honolulu Hawaii",-157.8583333,21.3069444,-157.9250736,21.3245132
