"","X","city","state","longitude","latitude","AirPtCd","citstate","citylons","citylats","newairlon","newairlat"
"70",70,"Pierre","South Dakota",-100.35,44.3667,"KPIR","Pierre South Dakota",-100.3537522,44.3667876,-100.285833,44.3825
"71",71,"North Platte","Nebraska",-100.767,41.1333,"KLBF","North Platte Nebraska",-100.7601454,41.1402759,-100.6981139,41.1298336
"73",73,"Garden City","Kansas",-100.883,37.9667,"KGCK","Garden City Kansas",-100.8726618,37.9716898,-100.7198703,37.9268913
"75",75,"Carlsbad","New Mexico",-104.25,32.4333,"KCNM","Carlsbad New Mexico",-104.2288375,32.4206736,-104.2526954,32.3455852
"76",76,"Trinidad","Colorado",-104.5,37.1667,"KTAD","Trinidad Colorado",-104.5005407,37.1694632,-104.3362998,37.2605112
"77",77,"Cheyenne","Wyoming",-104.867,41.15,"KCYS","Cheyenne Wyoming",-104.8202462,41.1399814,-104.8191509,41.1532465
"78",78,"Denver","Colorado",-105,39.75,"KBJC","Denver Colorado",-104.990251,39.7392358,-105.1118525,39.9097178
"79",79,"Santa Fe","New Mexico",-105.95,35.6833,"KSAF","Santa Fe New Mexico",-105.937799,35.6869752,-106.0845315,35.6182563
"81",81,"Grand Junction","Colorado",-108.55,39.0833,"KGJT","Grand Junction Colorado",-108.5506486,39.0638705,-108.5323765,39.1229004
"82",82,"Lander","Wyoming",-108.667,42.8333,"KLND","Lander Wyoming",-108.7306725,42.833014,-108.7296549,42.8148855
"83",83,"Harve","Montana",-109.717,48.55,"KHVR","Harve Montana",-109.6840887,48.549999,-109.7591257,48.5438304
"84",84,"Nogales","Arizona",-110.933,31.35,"KOLS","Nogales Arizona",-110.9342532,31.3403775,-110.849167,31.416389
"87",87,"Salt Lake City","Utah",-111.9,40.7667,"KSLC","Salt Lake City Utah",-111.8910474,40.7607793,-111.9790706,40.7899404
"89",89,"Helena","Montana",-112.033,46.5833,"KHLN","Helena Montana",-112.0391057,46.5891452,-111.9902266,46.6095791
"90",90,"Phoenix","Arizona",-112.067,33.4833,"KPHX","Phoenix Arizona",-112.0740373,33.4483771,-112.0077881,33.4372686
